index,module,topic,feed,term,created,added,language,ratio,location,latitude,longitude,age
'e673e0b6db',extremes,Flash Flood,unknown,heavy rain Finland,24-06-2023T13:59:00+00:00,2023-06-25T06:43:00+00:00,en,0.45,Finland,62.48,27.78,1
'11e89dd640',extremes,Tropical Cyclone,unknown,Tropical Storm Cindy,2023-06-23,2023-06-24T20:56:00+00:00,en,0.5,,11.7,-45.2,1
'a2c4052b02',extremes,Storm,unknown,severe wind Croatia,23-06-2023T16:00:00+00:00,2023-06-24T16:43:00+00:00,en,0.45,Croatia,45.8,16.0,1
'0fd48fbf62',extremes,Earthquake,unknown,"M 5.6 - 94 km NE of Hamatonbetsu, Japan",2023-06-23T17:39:00+00:00,2023-06-24T12:57:00+00:00,en,0.3733333333333333,"94 km NE of Hamatonbetsu, Japan",45.8086,143.1243,1
'18260c174b',extremes,Earthquake,unknown,"Earthquake 94 km NE of Hamatonbetsu, Japan",2023-06-23T17:39:00+00:00,2023-06-24T12:57:00+00:00,en,0.2799999999999999,"94 km NE of Hamatonbetsu, Japan",45.8086,143.1243,1
'1857d4f1bf',extremes,Earthquake,unknown,"M 5.6 - 143 km SE of Alo, Wallis and Futuna",2023-06-23T23:05:00+00:00,2023-06-24T12:57:00+00:00,en,0.3733333333333333,"143 km SE of Alo, Wallis and Futuna",-15.3674,-177.3345,1
'1cae744995',extremes,Earthquake,unknown,"M 6.2 - 20 km WSW of Biratori, Japan",2023-06-11T09:54:00+00:00,2023-06-24T12:57:00+00:00,en,0.4133333333333334,"20 km WSW of Biratori, Japan",42.5268,141.9005,1
'7d003ccc76',extremes,Earthquake,unknown,"M 5.6 - 116 km NE of Hihifo, Tonga",2023-06-23T19:06:00+00:00,2023-06-24T12:57:00+00:00,en,0.3733333333333333,"116 km NE of Hihifo, Tonga",-15.2313,-173.0091,1
'b3aeb748fc',extremes,Earthquake,unknown,M 5.2 - Banda Sea,2023-06-04T00:25:00+00:00,2023-06-24T12:57:00+00:00,en,0.3466666666666667,Banda Sea,-6.8207,130.3819,1
'b3b601f24d',extremes,Earthquake,unknown,"Earthquake 20 km WSW of Biratori, Japan",2023-06-11T09:54:00+00:00,2023-06-24T12:57:00+00:00,en,0.31,"20 km WSW of Biratori, Japan",42.5268,141.9005,1
'c119c002e6',extremes,Earthquake,unknown,M 5.2 - northern Mid-Atlantic Ridge,2023-06-23T19:08:00+00:00,2023-06-24T12:57:00+00:00,en,0.3466666666666667,northern Mid-Atlantic Ridge,44.9575,-28.039,1
'c22286227f',extremes,Earthquake,unknown,M 5.6 - northern Mid-Atlantic Ridge,2023-06-23T21:48:00+00:00,2023-06-24T12:57:00+00:00,en,0.3733333333333333,northern Mid-Atlantic Ridge,44.9352,-28.0822,1
'c8b14f1e66',extremes,Earthquake,unknown,"Earthquake 116 km NE of Hihifo, Tonga",2023-06-23T19:06:00+00:00,2023-06-24T12:57:00+00:00,en,0.2799999999999999,"116 km NE of Hihifo, Tonga",-15.2313,-173.0091,1
'd6edc764d6',extremes,Earthquake,unknown,Earthquake Wallis and Futuna,2023-06-23T23:05:00+00:00,2023-06-24T12:57:00+00:00,en,0.4666666666666666,Wallis and Futuna,-15.3674,-177.3345,1
'fd16bf551c',extremes,Earthquake,unknown,"Earthquake 143 km SE of Alo, Wallis and Futuna",2023-06-23T23:05:00+00:00,2023-06-24T12:57:00+00:00,en,0.2799999999999999,"143 km SE of Alo, Wallis and Futuna",-15.3674,-177.3345,1
'90b284b677',extremes,Storm,unknown,whirlwind,2023-06-23T08:40:00+00:00,2023-06-24T08:40:00+00:00,en,0.35,,,,1
'b186c4eba9',extremes,Drought,unknown,soil moisture,2023-06-23T02:13:00+00:00,2023-06-24T02:13:00+00:00,en,0.35,,,,2
'2b6e55d117',extremes,Thunderstorm,unknown,hail Italy,23-06-2023T18:00:00+00:00,2023-06-23T22:39:00+00:00,en,0.45,Italy,45.8,13.35,2
'2d353d6d07',extremes,Flash Flood,unknown,heavy rain Italy,23-06-2023T15:45:00+00:00,2023-06-23T22:39:00+00:00,en,0.45,Italy,44.19,12.41,2
'4e16b6d9db',extremes,Flash Flood,unknown,heavy rain Slovakia,23-06-2023T17:20:00+00:00,2023-06-23T22:39:00+00:00,en,0.45,Slovakia,48.37,20.33,2
'64f7ff9e21',extremes,Thunderstorm,unknown,hail Slovakia,23-06-2023T16:50:00+00:00,2023-06-23T22:39:00+00:00,en,0.45,Slovakia,48.58,19.37,2
'cd4e059a20',extremes,Thunderstorm,unknown,hail Hungary,23-06-2023T18:25:00+00:00,2023-06-23T22:39:00+00:00,en,0.45,Hungary,46.21,18.96,2
'8467f61d67',extremes,Snow Avalanche,unknown,avalanche,2023-06-22T18:41:00+00:00,2023-06-23T18:41:00+00:00,en,0.35,,,,2
'08628b1fa6',extremes,Earthquake,unknown,"Earthquake 1 km W of Aratoca, Colombia",2023-05-28T15:45:00+00:00,2023-06-23T16:44:00+00:00,en,0.26,"1 km W of Aratoca, Colombia",6.6964,-73.0303,2
'2150627503',extremes,Earthquake,unknown,M 5.1 - northern Mid-Atlantic Ridge,2023-06-23T15:13:00+00:00,2023-06-23T16:44:00+00:00,en,0.34,northern Mid-Atlantic Ridge,44.7303,-28.0164,2
'301e9d30d9',extremes,Earthquake,unknown,"M 7.2 - 274 km SW of Houma, Tonga",2023-06-15T18:06:00+00:00,2023-06-23T16:44:00+00:00,en,0.48,"274 km SW of Houma, Tonga",-22.976,-177.13,2
'c3be6fdcb1',extremes,Earthquake,unknown,"Earthquake 274 km SW of Houma, Tonga",2023-06-15T18:06:00+00:00,2023-06-23T16:44:00+00:00,en,0.36,"274 km SW of Houma, Tonga",-22.976,-177.13,2
'f705b37ac8',extremes,Earthquake,unknown,"M 5.2 - 1 km W of Aratoca, Colombia",2023-05-28T15:45:00+00:00,2023-06-23T16:44:00+00:00,en,0.3466666666666667,"1 km W of Aratoca, Colombia",6.6964,-73.0303,2
'15627861bd',extremes,Thunderstorm,unknown,hail,2023-06-22T14:38:00+00:00,2023-06-23T14:38:00+00:00,en,0.35,,,,2
'0bee19d1a3',extremes,Tsunami,unknown,Tsunami Alaska,2023-06-18T09:14:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Alaska,58.1016,-154.6028,2
'0cd5aff891',extremes,Earthquake,unknown,Earthquake Chile,2023-06-15T19:07:00+00:00,2023-06-23T14:27:00+00:00,en,0.4333333333333333,Chile,-34.5191,-71.8909,2
'18ddb60e17',extremes,Earthquake,unknown,Earthquake New Caledonia,2023-06-08T09:19:00+00:00,2023-06-23T14:27:00+00:00,en,0.475,New Caledonia,-22.3537,170.269,2
'3f391c6a9c',extremes,Tsunami,unknown,Tsunami Tonga,2023-06-16T19:10:00+00:00,2023-06-23T14:27:00+00:00,en,0.5166666666666667,Tonga,-23.478,-175.5092,2
'49b19f76a2',extremes,Earthquake,unknown,Earthquake Tonga,2023-06-20T17:07:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Tonga,-23.7314,-175.8598,2
'5c85924ec4',extremes,Earthquake,unknown,Earthquake Peru,2023-06-03T02:48:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Peru,-15.8418,-71.9907,2
'6521d4fa12',extremes,Earthquake,unknown,Earthquake Iran,2023-06-21T05:12:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Iran,28.0375,55.9983,2
'6d558094ce',extremes,Earthquake,unknown,Earthquake Guam,2023-06-02T05:25:00+00:00,2023-06-23T14:27:00+00:00,en,0.425,Guam,12.4233,144.7323,2
'75ae9a5453',extremes,Earthquake,unknown,Earthquake Indonesia,2023-06-20T08:39:00+00:00,2023-06-23T14:27:00+00:00,en,0.4583333333333333,Indonesia,-0.9802,98.6091,2
'76299b811d',extremes,Earthquake,unknown,Earthquake Japan,2023-06-22T01:24:00+00:00,2023-06-23T14:27:00+00:00,en,0.425,Japan,26.3529,127.8194,2
'7b96ac74e6',extremes,Earthquake,unknown,Earthquake India,2023-06-13T08:03:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,India,33.0961,75.8961,2
'7fbcbbdd01',extremes,Earthquake,unknown,Earthquake Philippines,2023-06-17T10:15:00+00:00,2023-06-23T14:27:00+00:00,en,0.4583333333333333,Philippines,19.2034,121.2054,2
'83d0c4b0a8',extremes,Earthquake,unknown,Earthquake Alaska,2023-06-18T09:14:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Alaska,58.1016,-154.6028,2
'9a15e6d860',extremes,Tsunami,unknown,Tsunami Panama,2023-05-25T03:05:00+00:00,2023-06-23T14:27:00+00:00,en,0.5416666666666666,Panama,8.9223,-77.0904,2
'a35d8d2bc7',extremes,Earthquake,unknown,M 5.0 - northern Mid-Atlantic Ridge,2023-06-23T13:27:00+00:00,2023-06-23T14:27:00+00:00,en,0.3333333333333333,northern Mid-Atlantic Ridge,44.9126,-28.0444,2
'a6ae09c11e',extremes,Earthquake,unknown,Earthquake Russia,2023-05-31T14:01:00+00:00,2023-06-23T14:27:00+00:00,en,0.4583333333333333,Russia,55.3195,163.097,2
'aacc10e9d3',extremes,Tsunami,unknown,Tsunami Mexico,2023-06-18T20:30:00+00:00,2023-06-23T14:27:00+00:00,en,0.5333333333333333,Mexico,23.2433,-108.6306,2
'ac746d70bf',extremes,Earthquake,unknown,Earthquake Colombia,2023-06-07T17:39:00+00:00,2023-06-23T14:27:00+00:00,en,0.425,Colombia,6.0377,-77.8301,2
'af1b3aa87e',extremes,Earthquake,unknown,Earthquake Vanuatu,2023-06-18T09:59:00+00:00,2023-06-23T14:27:00+00:00,en,0.4416666666666666,Vanuatu,-15.3843,167.5109,2
'b2f2a5ed4c',extremes,Earthquake,unknown,Earthquake northern Mid-Atlantic Ridge,2023-06-23T13:27:00+00:00,2023-06-23T14:27:00+00:00,en,0.25,northern Mid-Atlantic Ridge,44.9126,-28.0444,2
'c77cc60017',extremes,Earthquake,unknown,Earthquake Solomon Islands,2023-06-12T06:11:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Solomon Islands,-8.5689,157.261,2
'ca6c85718d',extremes,Earthquake,unknown,Earthquake Somalia,2023-06-03T13:58:00+00:00,2023-06-23T14:27:00+00:00,en,0.4583333333333333,Somalia,12.5558,48.1003,2
'e6f6c16907',extremes,Earthquake,unknown,Earthquake South Africa,2023-06-11T00:38:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,South Africa,-26.3276,28.1388,2
'ebe7da1582',extremes,Earthquake,unknown,Earthquake Mexico,2023-06-19T08:55:00+00:00,2023-06-23T14:27:00+00:00,en,0.4333333333333333,Mexico,23.1208,-108.4155,2
'ecd18ea55f',extremes,Earthquake,unknown,M 5.0 - Kermadec Islands region,2023-06-23T07:26:00+00:00,2023-06-23T14:27:00+00:00,en,0.3333333333333333,Kermadec Islands region,-27.0984,-176.6246,2
'f0f9fd35cd',extremes,Earthquake,unknown,Earthquake Ecuador,2023-06-18T09:10:00+00:00,2023-06-23T14:27:00+00:00,en,0.4166666666666667,Ecuador,-0.6701,-77.5812,2
'f2bed4b4d6',extremes,Earthquake,unknown,Earthquake Fiji,2023-06-20T19:59:00+00:00,2023-06-23T14:27:00+00:00,en,0.475,Fiji,-17.4401,-178.7693,2
'f97eb0c959',extremes,Earthquake,unknown,Earthquake Papua New Guinea,2023-06-19T22:40:00+00:00,2023-06-23T14:27:00+00:00,en,0.4333333333333333,Papua New Guinea,-4.476,144.913,2
'f9edf15cc2',extremes,Earthquake,unknown,Earthquake Myanmar,2023-05-31T11:20:00+00:00,2023-06-23T14:27:00+00:00,en,0.4916666666666667,Myanmar,25.1051,96.2315,2
'3870e4aadf',extremes,Earthquake,unknown,"Earthquake 17 km SE of Huambo, Peru",2023-06-03T02:48:00+00:00,2023-06-23T06:43:00+00:00,en,0.4,"17 km SE of Huambo, Peru",-15.8418,-71.9907,3
'5aa94b759e',extremes,Earthquake,unknown,"M 5.6 - 82 km WNW of Kirakira, Solomon Islands",2023-05-28T03:29:00+00:00,2023-06-23T06:43:00+00:00,en,0.4666666666666666,"82 km WNW of Kirakira, Solomon Islands",-10.1728,161.2187,3
