index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'94d66c5057',extremes,Flood,#030ba1,wmo,Flashflood Long GA Wayne GA,2024-02-17T02:39:00+00:00,United States,0.7433019437210373,0.0,2.0,en,CNA,North-America
'99ae35e121',extremes,Flood,#030ba1,wmo,Flooding Bossier Caddo Webster,2024-01-24T02:46:00+00:00,United States,0.743291168978104,0.0,2.0,en,CNA,North-America
'77096c3de3',extremes,Drought,#edc291,edo,Lack of Rain Western Sahara,2024-01-22T02:49:00+00:00,Western Sahara,0.7432890545514745,0.0,2.0,en,SAH,Africa
'cdd0af6708',extremes,Storm,#b3b2b1,wmo,Storm Norton Sound greater than 15 NM,2024-02-01T02:41:00+00:00,United States,0.7432878221913383,0.0,2.0,en,CNA,North-America
'9495afdc16',extremes,Storm,#b3b2b1,wmo,Storm TIMIMOUN,2024-02-10T02:38:00+00:00,Algeria,0.7432464515724916,0.0,2.0,en,SAH,Africa
'c95e885889',extremes,Thunderstorm,#53785a,wmo,Severe Weather India,2024-02-01T02:41:00+00:00,India,0.743241860884726,0.0,2.0,en,SAS,Asia
'ea6c3062f6',extremes,Precipitation,#d60d2b,wmo,Torrential Rain Tasman west of Takaka,2024-01-26T02:39:00+00:00,New Zealand,0.7432360483261349,0.0,2.0,en,NZ,Oceania
'255621cc4c',extremes,Earthquake,#870007,usgs,Earthquake Panguna,2024-02-14T02:37:00+00:00,Papua New Guinea,0.7432340379405087,0.0,2.0,en,EPO,Pacific Ocean
'5df4934e80',extremes,Wildfire,#d60d2b,wmo,Wildfire Dongguan City,2024-01-23T02:46:00+00:00,China,0.7432085935868975,0.0,2.0,en,EAS,Asia
'73069cb78f',extremes,Storm,#b3b2b1,wmo,Storm Surge Russian Federation,2024-02-06T02:38:00+00:00,Russian Federation,0.743182727092675,0.0,2.0,en,ESB,Europe
'c23cbccec0',extremes,Flood,#030ba1,wmo,Flood United Kingdom of Great Britain and Northern Ireland,2024-01-20T02:44:00+00:00,United Kingdom,0.7431794716601285,0.0,2.0,en,NEU,Europe
'12676e3835',extremes,Flood,#030ba1,wmo,Flooding Southampton VA,2024-03-09T02:38:00+00:00,United States,0.7431792129188638,0.0,2.0,en,CNA,North-America
'a0f78cdbdb',extremes,Fog,#d60d2b,wmo,Fog Orenburg Region,2024-02-01T02:41:00+00:00,Russia,0.7431781201559985,0.0,2.0,en,ESB,Europe
'4f7648d5b6',extremes,Flood,#030ba1,wmo,Flooding Glynn GA McIntosh GA Wayne GA,2024-02-19T02:38:00+00:00,United States,0.743172576274638,0.0,2.0,en,CNA,North-America
'47d365fc4a',extremes,Snow&Ice,#d60d2b,wmo,Freezing Highway 97 Pine Pass,2024-02-25T02:39:00+00:00,Canada,0.7431546633515362,0.0,2.0,en,NEN,North-America
'dfcecce3e8',extremes,Flood,#030ba1,wmo,Flashflood Clarke MS,2024-03-09T02:38:00+00:00,United States,0.7431274327979435,0.0,2.0,en,CNA,North-America
'ae8aaea5a2',extremes,Fog,#d60d2b,wmo,Fog Clay Lawrence Richland,2024-01-24T02:46:00+00:00,United States,0.7431066270022022,0.0,2.0,en,CNA,North-America
'6cb69c7415',extremes,Wildfire,#d60d2b,esawfa,Wildfire Uganda,2024-02-12T02:38:00+00:00,Uganda,0.7431060088129746,0.0,2.0,en,NEAF,Africa
'1133ce1349',extremes,Earthquake,#870007,usgs,Earthquake Costa Rica,2024-01-26T02:38:00+00:00,Costa Rica,0.7431033123928201,0.0,2.0,en,SCA,North-America
'4c96ab982c',extremes,Storm,#b3b2b1,wmo,Storm Surge AÏN DEFLA,2024-02-11T02:38:00+00:00,Algeria,0.7430906157259296,0.0,2.0,en,SAH,Africa
'd4757169ad',extremes,Tropical Cyclone,#4f4f4f,aidr,Cyclone Cyclone Yasi Queensland 2011,2024-02-20T02:38:00+00:00,,0.7430616596168002,0.0,2.0,en,NAU,Oceania
'6837cc93bf',extremes,Storm,#b3b2b1,wmo,Storm Surge Hoshiarpur district of Punjab,2024-01-22T02:49:00+00:00,India,0.7430345967873945,0.0,2.0,en,SAS,Asia
'697c4e0fe1',extremes,Flood,#030ba1,wmo,Flashflood Bossier LA Webster LA,2024-02-08T02:38:00+00:00,United States,0.7430248765696879,0.0,2.0,en,CNA,North-America
'957a7a09df',extremes,Earthquake,#870007,usgs,Earthquake Attu Station,2024-01-25T02:46:00+00:00,Alaska,0.7429803701777185,0.0,2.0,en,NPO,Pacific Ocean
'2531d3725f',extremes,Storm,#b3b2b1,wmo,Storm Surge BÉJAÏA,2024-02-10T02:38:00+00:00,Algeria,0.742970714534587,0.0,2.0,en,SAH,Africa
'80fa01a548',extremes,Storm,#b3b2b1,wmo,Storm TISSEMSILT,2024-02-10T02:38:00+00:00,Algeria,0.7429567604243081,0.0,2.0,en,SAH,Africa
'd095ff326c',extremes,Earthquake,#870007,usgs,Earthquake Salcha,2024-01-20T02:43:00+00:00,Alaska,0.7429528064962687,0.0,2.0,en,NWN,North-America
'f02078b3ed',extremes,Insect Infestation,#d60d2b,relief,Insect Infestation Sudan,2024-01-31T02:36:00+00:00,Sudan,0.7429464238144413,0.0,2.0,en,SAH,Africa
'76196dc5e1',extremes,Earthquake,#870007,usgs,Earthquake Guatemala,2024-01-23T02:45:00+00:00,Guatemala,0.742927486696375,0.0,2.0,en,SCA,North-America
'aa7470549a',extremes,Flood,#030ba1,wmo,Flooding River Kävlingeån,2024-01-28T02:38:00+00:00,Sweden,0.7429040032669331,0.0,2.0,en,NEU,Europe
'eabe6169ab',extremes,Earthquake,#870007,usgs,Earthquake Tonga,2024-03-05T02:37:00+00:00,Tonga,0.7428546614519188,0.0,2.0,en,SPO,Pacific Ocean
'013bee326a',extremes,Storm,#b3b2b1,wmo,Storm Surge Estonia,2024-02-29T02:40:00+00:00,Estonia,0.7428300814130836,0.0,2.0,en,NEU,Europe
'8866871f34',extremes,Flood,#030ba1,wmo,Flood Burke GA Emanuel GA Jenkins GA,2024-02-14T02:38:00+00:00,United States,0.7428282155235084,0.0,2.0,en,CNA,North-America
'4426e4d6f2',extremes,Storm,#b3b2b1,wmo,Storm Surge DJANET,2024-02-27T02:38:00+00:00,Algeria,0.7428079975427503,0.0,2.0,en,SAH,Africa
'0f760e43a0',extremes,Storm,#b3b2b1,wmo,Storm DJELFA,2024-02-10T02:38:00+00:00,Algeria,0.742804858252921,0.0,2.0,en,SAH,Africa
'1b84c62ef3',extremes,Flood,#030ba1,wmo,Flood Robeson NC,2024-03-10T02:40:00+00:00,United States,0.7427911329826995,0.0,2.0,en,CNA,North-America
